Reg,RegNum,Scientific Name,Species Common Name,Sex,Collection Locality,Date Collected,Collector,Specimen Notes,Notes,Specimen Form,Specimen Part,Current Location,Age,Stage,Total Length,Hindfoot Length,Ear Length,Unit,Weight,Unit of Weight
C,32039,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Cambarville, O'Shannassy Catchment (37 40 S, 145 48 E)",18/07/1980,"Warneke, R M",,Eaten in trap,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236308),,,,32,,mm,,grams
C,32044,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Captive (Healesville Sanctuary)",15/04/1980,"Seebeck, J H",male - juvenile,no collector on label,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236308),,,290,33,24,mm,81,grams
C,32046,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Captive (Healesville Sanctuary)",15/04/1980,"Seebeck, J H",male - juvenile,Mx02 locality?,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236308),,,272,31,25,mm,65,grams
C,32051,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Cambarville (37 33 S, 145 53 E)",21/10/1982,"Craig, S A",,Died of exposure in trap,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236308),,,334,34.7,24.1,mm,125,grams
C,32048,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Captive (Healesville Sanctuary)",29/05/1988,"Seebeck, J H",,Testes inguinal. Mx02 locality?,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236308),,,,,,mm,,grams
C,32053,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Arnold Creek track (37 31 S, 145 57 E)",25/06/1980,"Warneke, R M",,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236308),,,258,28,20.5,mm,69,grams
C,31885,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Arnold Creek track (37 31 S, 145 57 E)",16/07/1980,"Warneke, R M",,"Unperf female caught by hind leg killed, either white tail tip white patch on throat",Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236311),,,305,33.5,24,mm,89,grams
C,31889,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Cambarville, O'Shannassy Catchment (37 40 S, 145 48 E)",18/07/1980,"Seebeck, J H",,Eaten in trap,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236311),,,,31,22,mm,,grams
C,31888,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Yarra Valley, Pettys Metal Rd (37 32 06 S, 145 51 26 E)",16/07/1980,"Warneke, R M",,Extreme tip of tail missing,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236311),,,288,31.5,23.5,mm,105,grams
C,31886,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Cambarville, O'Shannassy Catchment (37 40 S, 145 48 E)",18/07/1980,"Seebeck, J H",,Eaten in trap,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236311),,,,32.5,,mm,,grams
C,31873,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Cambarville, Big River Rd, 2.0km N of Merie Junction (37 34 S, 145 55 E)",19/05/1981,"Seebeck, J H",,duplicate registration?,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236311),,,310,35,25.5,mm,132,grams
C,31876,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Cambarville, O'Shannassy Catchment (37 40 S, 145 48 E)",20/05/1981,"Baum, F T",,duplicate registration?,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236311),,,298,31.5,25,mm,105,grams
C,31877,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Yarra Valley, Pettys Metal Rd (37 32 06 S, 145 51 26 E)",16/07/1980,"Seebeck, J H",,White tip on tail,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236311),,,349,34.5,24,mm,150,grams
C,31881,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Yarra Valley, Pettys Metal Rd (37 32 06 S, 145 51 26 E)",16/07/1980,"Seebeck, J H",,Liver cyst,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236311),,,325,32,23.5,mm,137,grams
C,31883,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Yarra Valley, Pettys Metal Rd (37 32 06 S, 145 51 26 E)",16/07/1980,"Warneke, R M",,Cyst on liver,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236311),,,309,31.5,22,mm,103,grams
C,31879,Rattus  fuscipes,Australian Bush Rat,Female,"Australia, Victoria, Yarra Valley, Pettys Metal Rd (37 32 06 S, 145 51 26 E)",16/07/1980,"Warneke, R M",,,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236311),,,341,32,23,mm,127,grams
C,31884,Rattus  fuscipes,Australian Bush Rat,Male,"Australia, Victoria, Yarra Valley, Pettys Metal Rd (37 32 06 S, 145 51 26 E)",16/07/1980,"Warneke, R M",,Scar on tail,Dry,Skull,MELBOURNE (MvCIS) - STORE H - COMPACTUS 4 - ROW 9 - BAY 3 - LEVEL A -  Cabinet (L1239711) -  Drawer (L1103261) -  Box (L1236311),,,302,32,22,mm,105,grams
